Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
mobile notary,Phrase match,Enabled,Enabled,Enabled,$30.72,15,18.99%
notary near me,Exact match,Enabled,Enabled,Enabled,$28.13,14,6.14%
same day apostille los angeles,Exact match,Enabled,Enabled,Enabled,$12.99,2,11.11%
notary public near me,Exact match,Enabled,Enabled,Enabled,$8.28,4,12.12%
mobile apostille los angeles,Phrase match,Enabled,Enabled,Enabled,$6.36,1,25.00%
apostille philippines spa,Phrase match,Enabled,Enabled,Enabled,$5.99,1,50.00%
notary public los angeles,Exact match,Enabled,Enabled,Enabled,$4.34,2,28.57%
traveling notary near me,Exact match,Enabled,Enabled,Enabled,$3.91,2,28.57%
traveling notary,Phrase match,Enabled,Enabled,Enabled,$2.00,1,16.67%
24 hour notary near me,Exact match,Enabled,Enabled,Enabled,$2.00,1,50.00%
mobile notary service,Phrase match,Enabled,Enabled,Enabled,$1.99,1,4.00%
mobile notary near me,Exact match,Enabled,Enabled,Enabled,$1.97,1,7.14%
same day apostille la,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
same day apostille los angeles,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
expedited apostille los angeles,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mobile apostille los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
same day apostille la,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
rush apostille los angeles,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
rush apostille los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
expedited apostille los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
special power of attorney apostille philippines,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
apostille philippines spa,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
special power of attorney apostille philippines,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
apostille for philippines los angeles,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
spa apostille philippines los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
apostille for philippines los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
spa apostille philippines los angeles,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mobile notary service,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mobile notary los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mobile notary in los angeles,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
same day mobile notary,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
notary service near me,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
24 hour mobile notary,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
24 7 mobile notary,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
after hours notary,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
24 hour mobile notary,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
late night notary,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
24 7 mobile notary,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lax mobile notary,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
notary lax airport,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mobile notary lax,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
